232	8	10.313964	-16.167165	-0.647296	7.775770	0.622399	6.683994	13.659506	0.082026	5.911613	3.149215	6.243417	6.679827	8.234640	0.082246	5.912217	-3.578688	6.243492	-0.058581	-2.292422	6.649821	7.112557	-12.292075	6.535502	-6.779122	7.491925	0.083058	5.914441	-6.542350	6.243770	-1.958085	10.315288	-17.200172	-3.991528	7.822514	-4.579083	6.683994	-5.655008	-9.599269	-0.647278	-9.092123	0.622423	-6.779123	-5.653684	-10.632349	-3.991526	-9.045100	-4.579078	-6.779123
717	8	8.105070	-13.828247	-4.440364	4.867370	-10.679981	0.554976	-4.739935	-8.013142	-4.439553	-6.249867	-10.184868	-11.819697	10.236231	-13.828247	-4.440364	8.382561	-10.679981	5.026272	9.038921	3.198903	8.690293	2.286122	4.484731	0.552209	11.177950	3.198903	8.690293	5.806413	4.484731	5.026266	-3.795413	9.014471	8.733965	-8.016542	4.549312	-12.115785	3.483846	4.691589	8.728386	-3.286572	4.526798	-2.139843	11.036536	-1.288530	4.887231	2.286468	3.393151	0.552326
780	8	3.921993	-7.465727	-5.327741	-3.058187	-9.591120	-4.981893	10.318942	-7.876206	-5.328363	4.239458	-9.629110	-1.264665	12.538046	0.963840	6.944669	6.414537	5.686744	5.266956	9.274600	0.963840	6.944669	3.315434	5.686744	-1.264757	-1.947222	6.010866	6.948364	-10.701923	6.230997	-10.426716	13.581976	-7.876206	-5.328363	7.331670	-9.629110	5.266956	2.797446	4.037260	6.948336	-4.465358	6.170667	-5.449167	-1.092878	-1.637019	0.272234	-9.701698	-6.765743	-10.426473
1349	8	11.871837	6.953836	5.805740	6.244091	6.666061	7.756930	-1.983814	6.438010	4.831050	-8.847783	0.654726	-7.735082	-5.247616	-7.679086	-5.040661	-7.300987	-9.140824	-7.650773	8.369526	-9.496096	-5.040661	8.446095	-9.140824	7.766882	11.804284	4.728600	4.831050	6.900251	0.654726	7.761712	2.307276	5.456226	4.831050	-4.033010	0.654726	-2.707307	-1.961558	8.656550	5.805740	-9.503781	6.666061	-7.767226	2.349664	7.665715	5.805740	-4.755530	6.666061	-3.083083
1375	8	-7.482420	9.192978	6.009547	-15.969805	6.900217	-9.606323	3.210361	-9.895140	-6.128799	-3.463670	-11.076482	-4.090284	6.669297	4.237527	6.008898	2.235193	6.871978	7.998713	-1.944964	-6.048036	-6.128718	0.934696	-9.668492	-3.152137	10.897854	-10.989368	-6.128799	7.562667	-11.178220	7.998927	-3.252951	-6.024650	-6.128714	-4.406520	-9.653337	-9.597911	10.910438	-2.967460	0.381005	7.562667	3.744231	7.998927	3.714018	-2.006909	0.657546	-3.463673	4.662277	-4.079003
1565	8	6.375068	-8.364587	4.451926	4.562662	2.342143	5.907723	3.055056	-0.696197	4.476846	-1.889050	5.089506	-2.385453	-3.566532	5.378933	6.692501	-11.409898	8.294423	-7.062112	9.179560	-19.008139	-0.744527	6.447272	-7.652578	5.907723	8.927021	-12.976906	3.369597	5.751962	-1.331336	5.907723	-6.281227	-3.328059	3.382676	-7.354038	-1.322780	-7.062112	2.099595	4.978875	6.692501	-5.308974	8.294421	-2.414537	-6.023709	-12.351852	-0.744527	-6.648562	-7.652578	-7.062112
2564	8	-7.977907	5.917352	7.491056	-15.206311	8.143096	-9.393032	-8.049754	-10.802213	-2.337902	-9.124100	-5.693477	-9.393032	3.658517	-15.088700	-2.366702	-0.304016	-5.696158	-0.015669	-8.049786	-5.717533	1.843365	-9.245593	2.108436	-9.393032	10.122306	-15.099937	-2.366714	6.403957	-5.696159	5.543323	10.122305	-10.846235	1.013670	6.368169	1.935947	5.543323	3.496043	-10.823459	1.014298	-0.374665	1.936264	-0.029016	6.825843	1.476900	7.059777	0.294645	8.124827	5.542846
2965	8	1.803577	8.161937	5.336737	-3.331926	0.857751	-8.516790	5.031897	-5.893634	-3.522167	3.435201	-9.091824	0.149098	-2.885036	-0.345775	0.053497	-6.613505	-4.673291	-10.820658	10.130024	-5.915444	-3.535933	7.064639	-9.092412	6.550986	12.056165	8.126384	7.275752	3.510821	6.779223	6.550986	-4.730989	9.716791	7.277272	-10.661446	6.779245	-10.820658	13.361271	6.710887	5.332252	3.510833	0.857527	6.550986	-3.424541	8.301811	5.336959	-10.660972	0.857757	-10.820658
3379	8	4.371035	-14.033582	-6.067173	-4.398502	-10.149594	-6.358931	7.570874	-14.033737	-6.067173	2.976198	-10.149594	-0.093265	10.426390	-14.033737	-6.067173	5.279062	-10.149594	5.773544	7.592389	2.550829	3.921529	2.338331	5.154357	-0.102753	-2.581347	-9.586846	-6.056252	-9.245163	-10.149594	-11.760211	10.500489	2.550829	3.921529	4.681360	5.154357	5.773476	4.245786	2.551106	3.921593	-5.122236	5.154441	-6.368258	-3.188916	7.117115	4.295574	-11.976052	5.606625	-12.237610
4079	8	10.000343	-7.882557	3.591940	5.535982	4.820550	6.815128	-4.580196	-8.749466	0.381444	-8.937383	-6.890218	-7.010575	-5.084356	-6.984281	3.018029	-9.231694	-2.433736	-7.014421	-2.443127	5.331962	5.244900	-11.459965	6.661628	-6.876973	-2.452158	3.237183	5.150023	-11.313441	0.423903	-6.878647	10.142295	-13.090841	3.018029	5.833059	-2.433736	6.815137	2.971168	2.853885	5.244879	-5.147022	6.661510	-0.888606	10.817044	-14.889276	0.381444	6.127083	-6.890218	6.815157
