63	1	-17.277303	-17.522324	-5.966025	-10.158385	-8.370283	-10.422963
94	1	-13.485387	-13.622136	-5.514214	-10.079342	-9.443227	-12.034355
113	1	-9.505913	-15.443410	-7.552090	-3.824089	-7.714709	-16.076337
116	1	-8.986665	-9.905506	-2.948580	-9.094686	-5.738766	-13.396245
124	1	-14.599384	-14.485473	-5.199078	-14.378740	-9.960679	-13.202567
133	1	-8.698794	-19.141543	-0.973505	-9.081271	-5.890814	-9.361749
139	1	-13.339095	-16.780168	2.383670	-16.397466	-8.336198	-5.252219
157	1	-12.502520	-7.087423	-6.567119	-5.261678	-7.006441	-13.657810
172	1	-11.565014	-14.359419	-6.989789	-10.440178	-11.354452	-11.157526
173	1	-16.022262	-19.265544	-4.129335	-5.873649	-8.352346	-12.603490
184	1	-9.453966	-16.154807	-4.272661	-3.726262	-7.639829	-11.632472
186	1	-12.458425	-16.684066	-5.702630	-3.109200	-12.208344	-10.375926
196	1	-16.007204	-12.960916	-2.235032	-9.393638	-9.866933	-7.414779
211	1	-16.296691	-17.641729	-4.921893	-9.689719	-12.471294	-6.285226
212	1	-15.456267	-13.831951	-4.778033	-14.496287	-10.430668	-9.206030
229	1	-15.026193	-13.712098	-1.578615	-9.342181	-2.657768	-10.684165
233	1	-17.125365	-17.236333	-4.225390	-10.197475	-10.793648	-7.760537
244	1	-12.424938	-11.207977	-6.055095	-11.515675	-11.075341	-12.518309
261	1	-14.314504	-17.812369	-6.474400	-11.632285	-8.990777	-12.187061
265	1	-12.934079	-14.134209	-0.934956	-16.063804	-10.530383	-9.265822
277	1	-13.860561	-18.268976	-2.405978	-11.680603	-8.170848	-9.132476
283	1	-13.042570	-14.333269	-4.544074	-11.665374	-9.718379	-17.330034
291	1	-11.049047	-15.510061	-3.549792	-11.407461	-6.742922	-6.304809
294	1	-11.254746	-18.630655	-1.186962	-8.082103	-4.180012	-7.016590
303	1	-12.653439	-16.072110	-5.637995	-8.946064	-9.463548	-9.694788
329	1	-16.954286	-11.270023	-5.356727	-11.623725	-8.455003	-9.427230
337	1	-14.652789	-18.345173	-4.945853	-11.307916	-7.234095	-4.809180
353	1	-14.371471	-13.681509	-1.491087	-13.176656	-12.874849	-8.347940
386	1	-11.393107	-17.111941	-5.437832	-7.174708	-7.744149	-10.765491
391	1	-11.693030	-17.455607	-3.397461	-14.245731	-7.533740	-16.010827
413	1	-13.043308	-13.022429	-8.771109	-10.852136	-11.613609	-10.286579
449	1	-17.725012	-14.206132	-7.369505	-12.984015	-11.716653	-5.547214
463	1	-13.976280	-12.684891	-2.824397	-3.121355	-5.077786	-10.490460
469	1	-14.233284	-13.326477	-5.425516	-8.885342	-12.849138	-10.822224
470	1	-14.935712	-16.614505	-4.364823	-10.392804	-9.294036	-13.504454
474	1	-14.336990	-15.580669	-5.042128	-10.703001	-8.264106	-7.774396
476	1	-13.320251	-15.957150	-6.053943	-9.451434	-11.589327	-4.846647
479	1	-13.206132	-8.953945	-4.673220	-11.308224	-9.635777	-9.105623
484	1	-15.115424	-12.946197	-2.342829	-14.157597	-11.548079	-10.771966
486	1	-14.603437	-15.588271	-7.437578	-11.470475	-10.081342	-12.838202
512	1	-10.394380	-15.430868	-3.677174	-12.246663	-14.830094	-14.052997
517	1	-18.625558	-13.084206	-6.211561	-9.504640	-7.955966	-9.978185
522	1	-11.593432	-15.431725	-0.620019	-15.157289	-11.076334	-9.969329
523	1	-15.144933	-15.981738	-4.051441	-7.703260	-7.739143	-10.070542
525	1	-8.015714	-17.067698	-5.223518	-10.960427	-13.062738	-15.394347
526	1	-12.745932	-12.593392	-7.485548	-13.454701	-7.103608	-11.005212
531	1	-13.015966	-16.984562	-5.110681	-7.342185	-2.227177	-8.618403
532	1	-14.026513	-15.906056	-4.131720	-7.387921	-9.673452	-12.637996
533	1	-15.437265	-17.220108	-5.662447	-12.140024	-10.291469	-10.646785
537	1	-13.355177	-15.687303	-9.794101	-10.483387	-9.228531	-12.952847
544	1	-5.327946	-17.457940	-1.927185	-7.882526	-9.273314	-11.951886
566	1	-14.669820	-15.170802	-1.388122	-13.230700	-11.471720	-10.384532
570	1	-15.033297	-15.374298	-7.410070	-12.821829	-14.787089	-6.231578
576	1	-14.160628	-17.928747	-6.112849	-12.737649	-10.644323	-13.602570
580	1	-12.746945	-16.893647	-3.209618	-10.623444	-10.139717	-12.606394
585	1	-8.505979	-15.516150	-5.429264	-5.240965	-9.777388	-13.761094
